district,division,province,region,population_2023,population_2017,population_growth_rate,area_sqkm,density_per_sqkm,literacy_rate,male_literacy,female_literacy,rural_literacy,urban_literacy,rural_urban_literacy_gap,literacy_rate_2017,literacy_change,poverty_headcount,mpi_score,unemployment_rate,primary_enrollment_rate,middle_enrollment_rate,out_of_school_rate,dropout_rate,never_attended_rate,higher_education_rate,population_5plus,population_10plus,ever_attended,enrolment_primary,enrolment_middle,enrolment_matric,enrolment_intermediate,enrolment_graduation_above,out_of_school_5_16,dropout_5_16,never_attended_school,immunization_coverage,clean_water_access,sanitation_access,electricity_access,internet_access,hospitals_per_100k
Multan,Multan,Punjab,South Punjab,4610487,4745109,-0.48,3720,1239,61.4,67.3,55.3,49.35,74.55,25.2,56.5,4.9,25.3,0.116,5.8,67.5,27.3,35.2,10.2,38.4,4.8,4610487,3942603,2839095,622506,252186,150381,88464,101506,475376,137809,1771392,72.0,85.6,78.4,95.2,42.3,1.8
Lodhran,Multan,Punjab,South Punjab,1647480,1700620,-0.53,2778,593,51.7,60.6,42.1,48.4,67.34,18.9,47.2,4.5,43.5,0.198,7.2,69.2,24.3,41.0,11.1,47.1,3.1,1647480,1385693,871116,228048,80099,46776,22450,20972,214246,57911,776364,58.0,62.4,54.1,82.1,22.5,0.9
Khanewal,Multan,Punjab,South Punjab,2888710,2921454,-0.19,4349,664,61.0,69.3,52.2,56.27,77.56,21.3,55.1,5.9,35.1,0.163,6.5,73.5,30.5,31.0,10.5,38.4,3.4,2888710,2456148,1778384,424478,176089,95609,45616,37009,270019,91465,1110326,63.0,71.3,63.8,88.4,28.7,1.2
Vehari,Multan,Punjab,South Punjab,2919141,2897446,0.12,4364,669,59.1,66.4,51.6,54.73,73.61,18.9,52.7,6.4,38.7,0.179,6.9,69.4,27.7,35.2,10.7,40.6,3.6,2919141,2487435,1732796,405216,161701,83366,46175,43628,307383,93356,1186345,60.0,67.8,59.2,85.7,25.1,1.0
Bahawalpur,Bahawalpur,Punjab,South Punjab,3616066,3668106,-0.24,24830,146,53.4,59.4,47.1,44.21,67.69,23.5,47.6,5.8,40.2,0.185,7.8,68.1,22.6,42.6,9.8,46.5,4.5,3616066,3033056,1934371,492608,163590,93014,54710,81124,487764,111783,1681695,59.0,65.2,56.5,83.5,26.8,1.1
Bahawalnagar,Bahawalpur,Punjab,South Punjab,3052233,2981919,0.39,8878,344,57.0,63.6,50.0,51.51,70.84,19.3,51.3,5.7,36.9,0.171,6.4,73.4,28.5,35.7,11.7,42.1,3.5,3052233,2572990,1768286,448294,174042,86397,45624,45036,344881,113073,1283947,61.0,69.5,61.7,86.3,29.3,1.1
Rahim Yar Khan,Bahawalpur,Punjab,South Punjab,4677514,4814006,-0.48,11880,394,47.9,55.1,40.2,40.22,70.7,30.5,41.3,6.6,44.8,0.205,8.5,64.7,21.2,49.3,8.6,52.0,2.9,4677514,3877479,2247306,605139,198592,110491,55796,58160,781930,135730,2430208,56.0,60.1,50.2,80.2,21.4,0.8
DG Khan,DG Khan,Punjab,South Punjab,2762926,2872201,-0.64,8524,324,46.8,56.2,37.2,40.56,65.05,24.5,40.2,6.6,52.6,0.248,9.3,69.1,22.3,50.5,8.4,53.5,3.3,2762926,2235453,1284821,381725,123377,64996,35328,38356,514965,85518,1478105,48.0,52.3,42.6,74.6,16.8,0.7
Muzaffargarh,DG Khan,Punjab,South Punjab,4138313,4322009,-0.72,8249,502,48.0,56.0,39.7,44.05,64.06,20.0,42.1,5.9,49.3,0.231,8.9,69.8,23.7,47.9,9.6,52.3,3.4,4138313,3394476,1973302,577977,195779,103068,58643,56171,710633,143107,2165011,51.0,55.7,45.3,76.8,18.2,0.7
Layyah,DG Khan,Punjab,South Punjab,1771519,1823995,-0.49,6291,282,61.8,70.9,52.2,58.67,75.13,16.5,55.3,6.5,41.5,0.189,7.1,85.2,31.1,26.1,10.5,36.3,4.6,1771519,1497639,1128983,301944,110139,57324,32491,35675,145207,58292,642536,57.0,63.8,55.8,81.4,24.6,0.9
Rajanpur,DG Khan,Punjab,South Punjab,1891721,1995958,-0.89,12319,154,36.1,43.7,28.2,27.39,57.42,30.0,30.1,6.0,58.4,0.279,10.2,59.8,18.9,59.8,6.0,63.8,2.9,1891721,1507085,684283,226342,71503,38560,21095,22076,442819,44684,1207438,42.0,45.2,35.4,68.3,12.1,0.5
Lahore,Lahore,Punjab,Rest of Punjab,11151025,11126285,0.04,1772,6293,79.6,81.4,77.6,79.62,,,77.2,2.4,8.5,0.038,4.2,62.7,31.0,25.6,10.5,22.6,7.5,11151025,9746671,8628495,1397394,690450,445261,325401,407621,718199,295453,2522530,88.0,96.5,94.5,99.1,68.7,3.8
Faisalabad,Faisalabad,Punjab,Rest of Punjab,7899874,7873910,0.05,5856,1349,73.4,77.3,69.1,66.02,81.03,15.0,68.3,5.1,22.1,0.101,4.8,70.6,31.9,22.8,10.4,26.3,5.4,7899874,6865192,5820738,1115324,504162,290685,170808,196671,479098,218304,2079136,74.0,87.2,82.6,96.3,48.5,2.2
Rawalpindi,Rawalpindi,Punjab,Rest of Punjab,5337821,5405633,-0.21,5286,1010,83.2,87.9,78.4,80.66,84.41,3.8,80.4,2.8,7.2,0.032,3.9,65.1,32.5,18.7,9.4,17.0,7.2,5337821,4696941,4432758,694957,347085,208687,155233,183941,239415,120677,905063,90.0,97.1,93.2,99.3,62.4,4.1
Gujranwala,Gujranwala,Punjab,Rest of Punjab,5016623,5014196,0.01,3622,1385,76.8,78.1,75.4,72.84,79.35,6.5,72.8,4.0,18.3,0.085,4.5,71.1,34.1,23.4,11.2,23.7,5.5,5016623,4345898,3827867,713804,341846,196552,127115,111323,321967,154459,1188756,76.0,89.4,85.3,97.1,51.2,2.4
Sialkot,Gujranwala,Punjab,Rest of Punjab,3865938,3893672,-0.12,3016,1282,78.4,80.2,76.5,75.94,83.31,7.4,74.5,3.9,14.5,0.067,4.1,76.7,36.1,15.0,9.0,20.2,6.4,3865938,3356203,3083599,593148,279261,166297,110467,104949,153560,92136,782339,79.0,91.6,88.5,97.8,54.8,2.7
Gujrat,Gujranwala,Punjab,Rest of Punjab,2837143,2756110,0.48,3192,889,81.4,84.8,78.0,79.39,84.19,4.8,77.3,4.1,12.1,0.056,4.3,68.2,33.4,17.0,9.8,18.1,4.8,2837143,2498174,2322721,387267,189591,111082,62949,58165,118204,68301,514422,81.0,93.2,89.6,98.2,56.1,3.0
Mandi Bahauddin,Gujranwala,Punjab,Rest of Punjab,1579976,1593292,-0.14,2673,591,70.3,74.9,65.7,67.71,81.23,13.5,65.0,5.3,20.4,0.094,5.2,69.5,31.3,25.7,10.4,29.3,4.3,1579976,1371605,1116321,219727,98809,56674,31676,27815,110399,44809,463655,72.0,85.1,78.4,95.6,40.2,1.9
Hafizabad,Gujranwala,Punjab,Rest of Punjab,1141590,1156957,-0.22,2367,482,65.8,70.7,60.6,61.15,73.16,12.0,60.5,5.3,24.8,0.114,5.6,72.3,32.2,24.8,10.3,33.9,4.9,1141590,988643,754398,164980,73493,40691,24464,23613,78767,32684,387192,69.0,82.3,74.2,93.8,36.8,1.6
Narowal,Gujranwala,Punjab,Rest of Punjab,1686029,1709757,-0.23,2337,721,75.3,79.9,70.5,73.83,81.77,7.9,70.2,5.1,21.9,0.1,5.0,76.5,37.5,17.1,9.3,23.8,5.6,1686029,1455970,1285365,258009,126386,78209,44850,37380,79034,42997,400664,71.0,84.5,80.1,95.2,38.5,1.8
Sargodha,Sargodha,Punjab,Rest of Punjab,3734915,3703588,0.14,5854,638,66.7,73.6,59.6,60.61,76.82,16.2,61.3,5.4,26.7,0.123,5.4,73.8,32.7,22.2,10.6,31.3,4.9,3734915,3237620,2564735,551316,244408,127305,76431,80726,226673,107874,1170180,70.0,83.1,76.5,94.5,37.2,1.7
Bhakkar,Sargodha,Punjab,Rest of Punjab,1606888,1650518,-0.45,8153,197,55.7,66.8,43.9,52.04,71.67,19.6,49.6,6.1,42.8,0.195,7.6,75.9,28.4,31.5,10.2,42.2,3.6,1606888,1363047,928955,243902,91170,48656,25549,24029,154352,50087,677933,56.0,61.5,51.8,80.8,20.3,0.8
