year,district_code,district_name,within_gini_child_hh,within_gini_all_hh,n_households_sample
2011,1,Bahawalpur,0.3409594421016193,0.25078265898414664,3957
2011,2,Bahawalnagar,0.31490693552891935,0.2373691834968794,2772
2011,3,RY Khan,0.33276697248364107,0.26135324827492357,3681
2011,4,DG Khan,0.4043770968435658,0.3285261950970675,1724
2011,5,Layyah,0.2742320324778996,0.23049574420412577,1964
2011,6,Muzaffargarh,0.3212519465579783,0.26401917126295005,2959
2011,7,Rajanpur,0.38038866062489196,0.3204138080383525,1751
2011,8,Faisalabad,0.23697901313849523,0.18044623036065366,6046
2011,9,Chiniot,0.29604279491097474,0.2248248951946088,1618
2011,10,Jhang,0.2761982591071077,0.2202310079937866,2764
2011,11,TT Singh,0.2445647458098319,0.18345963369191942,1990
2011,12,Gujranwala,0.19230668045016663,0.16071669425911228,4676
2011,13,Gujrat,0.1773122457090539,0.1435169607454876,2488
2011,14,Hafizabad,0.233778381184776,0.1842978518681493,1216
2011,15,Mandi Bahauddin,0.18926268859080464,0.15972454588589258,1639
2011,16,Narowal,0.1983679667806849,0.1699893858048227,2244
2011,17,Sialkot,0.1944591630067074,0.1595334318630055,3286
2011,18,Lahore,0.2157002651964638,0.1702437292504705,4632
2011,19,Kasur,0.269362466973055,0.21231631790721306,2845
2011,20,Nankana Sahib,0.2394324925843625,0.1841506062943019,2199
2011,21,Sheikhupura,0.23442640020383865,0.1840224989945064,2807
2011,22,Multan,0.2973950663921312,0.22466049734489113,3722
2011,23,Khanewal,0.2762886293911996,0.22146163497576643,2863
2011,24,Lodhran,0.3799252086718067,0.2427017613946787,1672
2011,25,Vehari,0.29420836555800145,0.22192601667032286,2462
2011,26,Sahiwal,0.28009695249573574,0.20992075821450207,1847
2011,27,Pakpattan,0.296737538423705,0.22146174521920847,1696
2011,28,Okara,0.3089289735521892,0.2286791259681823,2520
2011,29,Rawalpindi,0.18977414738708787,0.1544407453212283,4230
2011,30,Attock,0.2193436440812907,0.1661164351162976,2464
2011,31,Chakwal,0.22256271835942676,0.15742106992273763,2065
2011,32,Jhelum,0.20243041380348792,0.16436163309257168,1993
2011,33,Sargodha,0.2400010858904571,0.18940353759165385,3479
2011,34,Bhakkar,0.28616742296340936,0.2221940705385851,2017
2011,35,Khushab,0.2469500860908298,0.19007472507410017,1547
2011,36,Mianwali,0.2450606518151054,0.19193442790680015,1403
2014,1,Bahawalpur,0.31758802675870157,0.23658217245074187,1224
2014,2,Bahawalnagar,0.3143982911667722,0.22966142747280704,1099
2014,3,RY Khan,0.33773355904030833,0.2600133281726751,1367
2014,4,DG Khan,0.3743827112310363,0.31674315691172417,1020
2014,5,Layyah,0.29199926715852076,0.22928724180444127,862
2014,6,Muzaffargarh,0.35065861235010154,0.28388097089169073,1333
2014,7,Rajanpur,0.40909870233396384,0.3281716485354378,836
2014,8,Faisalabad,0.21299527777300664,0.16892329172793574,1853
2014,9,Chiniot,0.25826663638238545,0.20206777146711574,762
2014,10,Jhang,0.26678478611390877,0.2050002181191809,1059
2014,11,TT Singh,0.23282166417077055,0.1780528239361816,973
2014,12,Gujranwala,0.19431172107529227,0.15890278486269516,1473
2014,13,Gujrat,0.1731474689631619,0.14076447226193312,1100
2014,14,Hafizabad,0.20392715886599355,0.16406995306606587,690
2014,15,Mandi Bahauddin,0.1956146046692342,0.16011066296396126,799
2014,16,Narowal,0.1986208950403594,0.16285672472616397,883
2014,17,Sialkot,0.18094509949949777,0.14516195265917686,1309
2014,18,Lahore,0.19968342212792511,0.15728754064579475,1837
2014,19,Kasur,0.2523720190681251,0.1976263957103488,1146
2014,20,Nankana Sahib,0.21867251507428487,0.17191157567052195,758
2014,21,Sheikhupura,0.21018798016417017,0.17191003671980043,1133
2014,22,Multan,0.27373205015284197,0.2146685694285312,1374
2014,23,Khanewal,0.2707699107187138,0.20423569973431088,1135
2014,24,Lodhran,0.2844862520873096,0.21422482788414565,866
2014,25,Vehari,0.2451359742474164,0.18839828647088874,1151
2014,26,Rawalpindi,0.18051768832086434,0.14370011033097962,1356
2014,27,Attock,0.19636480943887824,0.15699777624214895,869
2014,28,Chakwal,0.16285404285915883,0.1333726009263374,790
2014,29,Jhelum,0.1846386630938699,0.14097541988334983,741
2014,30,Sahiwal,0.2507062241832281,0.19491509909066096,1031
2014,31,Okara,0.25202973975525045,0.2037165970714434,1127
2014,32,Pakpattan,0.23735637744754712,0.19047326502466555,896
2014,33,Sargodha,0.22604923845765135,0.1727763647651025,1228
2014,34,Bhakkar,0.2908318368208672,0.2200967789102427,813
2014,35,Khushab,0.22416317257810636,0.18109834494708577,710
2014,36,Mianwali,0.22198222158544534,0.17883663077899437,802
2017-18,1,Bahawalpur,0.28489177513852215,0.21718240693918234,1466
2017-18,2,Bahawalnagar,0.25057938437343386,0.1944278657650268,1370
2017-18,3,RY Khan,0.30009230271023646,0.23740046907800016,1700
2017-18,4,DG Khan,0.30057721693095085,0.26500777108784757,1043
2017-18,5,Layyah,0.2227761570253869,0.18439753149407634,978
2017-18,6,Muzaffargarh,0.25431565096186426,0.21344662927734648,1567
2017-18,7,Rajanpur,0.32223780335765706,0.2818367127859489,805
2017-18,8,Faisalabad,0.19433060321650375,0.16099547840019834,3013
2017-18,9,Chiniot,0.22345788705187464,0.18473567314321604,852
2017-18,10,Jhang,0.22509715050072754,0.19825858601913815,1294
2017-18,11,TT Singh,0.19619470331463362,0.16110343280495232,1115
2017-18,12,Gujranwala,0.1781755202841394,0.14816122447006863,2010
2017-18,13,Gujrat,0.15375135135222884,0.1278547724514696,1554
2017-18,14,Hafizabad,0.19535043903889637,0.16111011804313569,894
2017-18,15,Mandi Bahauddin,0.20315968705708753,0.16289144076625006,1690
2017-18,16,Narowal,0.1552974805031082,0.13669367012730504,909
2017-18,17,Sialkot,0.15973616736526353,0.1349826513993616,1587
2017-18,18,Lahore,0.19589379773382465,0.15548089168934143,3271
2017-18,19,Kasur,0.22082803549031826,0.18036282807582404,1281
2017-18,20,Nankana Sahib,0.20815015054974872,0.16417660101262932,946
2017-18,21,Sheikhupura,0.2022017219288722,0.16560454735581265,1456
2017-18,22,Multan,0.2180070011579418,0.18189790307168452,2413
2017-18,23,Khanewal,0.23388573288201253,0.18697819909853186,1278
2017-18,24,Lodhran,0.2691268961943839,0.21465984664430482,944
2017-18,25,Vehari,0.23376748529736524,0.18646734031848955,1325
2017-18,26,Rawalpindi,0.17334985746069043,0.14288507807290574,2687
2017-18,27,Attock,0.1979565949056954,0.15956286337775383,1401
2017-18,28,Chakwal,0.1798686624569268,0.14434481691142742,1410
2017-18,29,Jhelum,0.1672153106571438,0.1338687744647855,1031
2017-18,30,Sahiwal,0.2039357257814267,0.16858759223535813,1219
2017-18,31,Okara,0.19854961600282883,0.17178002515201052,1170
2017-18,32,Pakpattan,0.23394589870579507,0.1804505026906119,932
2017-18,33,Sargodha,0.19000679856872504,0.15528307675468622,1406
2017-18,34,Bhakkar,0.24411583439003004,0.19778829030214073,1271
2017-18,35,Khushab,0.23062342149435344,0.1867679055618081,929
2017-18,36,Mianwali,0.19968643659585117,0.16307229867224438,1443
