feature,mean_abs_shap,rank
improved_floor,0.045155615,1
has_bank_account,0.037376143,2
open_defecation,0.020496227,3
solid_fuel,0.020467853,4
owns_agri_land,0.0152534,5
child_dependency,0.010648725,6
improved_wall,0.009569957,7
is_southern_punjab,0.008863761,8
improved_sanitation,0.008252326,9
hh_size_val,0.008062254,10
has_electricity,0.007519296,11
persons_per_room,0.0071226554,12
improved_roof,0.006832386,13
survey_round,0.0060611414,14
rooms_sleeping,0.005870942,15
div_Gujranwala,0.0055007366,16
owns_dwelling,0.004647735,17
treats_water,0.003983876,18
owns_animals,0.0037425705,19
div_Rawalpindi,0.0033836635,20
water_time_min,0.0030928992,21
div_Lahore,0.003041984,22
is_urban,0.002942915,23
water_on_premises,0.0025996233,24
div_Bahawalpur,0.0021466007,25
female_hh_head,0.0020430211,26
improved_water,0.0017288711,27
div_Faisalabad,0.0012615242,28
div_Sargodha,0.0012357064,29
div_Multan,0.0012103005,30
div_DG Khan,0.0010612358,31
div_Sahiwal,0.0010448733,32
