feature,mean_abs_shap,shap_southern,shap_rest,rank_global,rank_southern,rank_rest
improved_floor,0.045155615,0.046595108,0.044443853,1,1,1
has_bank_account,0.037376143,0.034525964,0.038785346,2,2,2
open_defecation,0.020496227,0.025249785,0.018145638,3,3,4
solid_fuel,0.020467853,0.020003248,0.020697616,4,4,3
owns_agri_land,0.0152534,0.015007431,0.015374974,5,5,5
child_dependency,0.010648725,0.0117071215,0.010125331,6,9,6
improved_wall,0.009569957,0.0134687,0.0076421024,7,6,8
is_southern_punjab,0.008863761,0.0123376455,0.0071460432,8,7,11
improved_sanitation,0.008252326,0.010021354,0.007377591,9,10,9
hh_size_val,0.008062254,0.007999701,0.008093202,10,11,7
has_electricity,0.007519296,0.011813774,0.0053958343,11,8,16
persons_per_room,0.0071226554,0.0070326785,0.0071671247,12,12,10
improved_roof,0.006832386,0.00655044,0.006971806,13,13,12
survey_round,0.0060611414,0.0052401163,0.0064671203,14,15,14
rooms_sleeping,0.005870942,0.0056810323,0.005964839,15,14,15
div_Gujranwala,0.0055007366,0.0031033345,0.006686171,16,20,13
owns_dwelling,0.004647735,0.0040936554,0.004921718,17,18,17
treats_water,0.003983876,0.0034037419,0.0042707324,18,19,18
owns_animals,0.0037425705,0.0042298697,0.0035015887,19,16,21
div_Rawalpindi,0.0033836635,0.0017062111,0.004213116,20,27,19
water_time_min,0.0030928992,0.0028240515,0.0032258264,21,22,22
div_Lahore,0.003041984,0.0015619362,0.0037738308,22,28,20
is_urban,0.002942915,0.0026184993,0.0031033389,23,23,23
water_on_premises,0.0025996233,0.0028911012,0.0024555025,24,21,24
div_Bahawalpur,0.0021466007,0.004195746,0.0011333656,25,17,30
female_hh_head,0.0020430211,0.0017610191,0.0021824674,26,26,25
improved_water,0.0017288711,0.0012903519,0.0019457098,27,29,26
div_Faisalabad,0.0012615242,0.00073713507,0.0015208228,28,30,27
div_Sargodha,0.0012357064,0.0006803648,0.0015103058,29,31,28
div_Multan,0.0012103005,0.002353038,0.00064525165,30,24,31
div_DG Khan,0.0010612358,0.0019538424,0.0006198664,31,25,32
div_Sahiwal,0.0010448733,0.00051709847,0.0013058437,32,32,29
