Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Pakistan,PAK,2022,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,55.97371
Pakistan,PAK,2020,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,55.97371
Pakistan,PAK,2018,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,57.49851
Pakistan,PAK,2016,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,59.0233
Pakistan,PAK,2014,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,60.5481
Pakistan,PAK,2012,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,62.0729
Pakistan,PAK,2010,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,63.59769
Pakistan,PAK,2008,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,65.12249
Pakistan,PAK,2006,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,66.64728
Pakistan,PAK,2004,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,68.17208
Pakistan,PAK,2002,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,69.69687
Pakistan,PAK,2000,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,71.22167
Pakistan,PAK,2018,Income share held by second 20%,SI.DST.02ND.20,13.1
Pakistan,PAK,2015,Income share held by second 20%,SI.DST.02ND.20,12.7
Pakistan,PAK,2013,Income share held by second 20%,SI.DST.02ND.20,13.2
Pakistan,PAK,2011,Income share held by second 20%,SI.DST.02ND.20,13.1
Pakistan,PAK,2010,Income share held by second 20%,SI.DST.02ND.20,13.3
Pakistan,PAK,2007,Income share held by second 20%,SI.DST.02ND.20,13.1
Pakistan,PAK,2005,Income share held by second 20%,SI.DST.02ND.20,12.8
Pakistan,PAK,2004,Income share held by second 20%,SI.DST.02ND.20,12.9
Pakistan,PAK,2001,Income share held by second 20%,SI.DST.02ND.20,13.4
Pakistan,PAK,1998,Income share held by second 20%,SI.DST.02ND.20,12.4
Pakistan,PAK,1996,Income share held by second 20%,SI.DST.02ND.20,13.5
Pakistan,PAK,1990,Income share held by second 20%,SI.DST.02ND.20,12.3
Pakistan,PAK,1987,Income share held by second 20%,SI.DST.02ND.20,12.3
Pakistan,PAK,2018,Income share held by third 20%,SI.DST.03RD.20,16.4
Pakistan,PAK,2015,Income share held by third 20%,SI.DST.03RD.20,16
Pakistan,PAK,2013,Income share held by third 20%,SI.DST.03RD.20,16.6
